Brand,Type,priceGradeA,priceGradeB,priceGradeC
AQUA,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
AQUA,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
ELECTROLUX,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
ELECTROLUX,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
SHARP,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
SHARP,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
SAMSUNG,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
SAMSUNG,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
LG,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
LG,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
TOSHIBA,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
TOSHIBA,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
PANASONIC,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
PANASONIC,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
MODENA,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
MODENA,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
SANKEN,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
SANKEN,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "
POLYTRON,Front Loading," Rp1,100,000 "," Rp900,000 "," Rp700,000 "
POLYTRON,Upper Loading," Rp350,000 "," Rp250,000 "," Rp150,000 "