brand,type,price Grade A,price Grade B,price Grade C
AQUA,Front Loading,1100000,900000,700000
AQUA,Upper Loading,350000,250000,150000
ELECTROLUX,Front Loading,1100000,900000,700000
ELECTROLUX,Upper Loading,350000,250000,150000
SHARP,Front Loading,1100000,900000,700000
SHARP,Upper Loading,350000,250000,150000
SAMSUNG,Front Loading,1100000,900000,700000
SAMSUNG,Upper Loading,350000,250000,150000
LG,Front Loading,1100000,900000,700000
LG,Upper Loading,350000,250000,150000
TOSHIBA,Front Loading,1100000,900000,700000
TOSHIBA,Upper Loading,350000,250000,150000
PANASONIC,Front Loading,1100000,900000,700000
PANASONIC,Upper Loading,350000,250000,150000
MODENA,Front Loading,1100000,900000,700000
MODENA,Upper Loading,350000,250000,150000
SANKEN,Front Loading,1100000,900000,700000
SANKEN,Upper Loading,350000,250000,150000
POLYTRON,Front Loading,1100000,900000,700000
POLYTRON,Upper Loading,350000,250000,150000
,,,,