Brand,Model,Type,priceGradeA,priceGradeB,priceGradeC,priceGradeD,priceGradeE
AQUA,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
AQUA,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
AQUA,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
AQUA,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
ELECTROLUX,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
ELECTROLUX,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
ELECTROLUX,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
ELECTROLUX,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
SHARP,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
SHARP,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
SHARP,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
SHARP,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
SAMSUNG,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
SAMSUNG,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
SAMSUNG,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
SAMSUNG,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
LG,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
LG,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
LG,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
LG,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
TOSHIBA,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
TOSHIBA,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
TOSHIBA,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
TOSHIBA,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
PANASONIC,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
PANASONIC,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
PANASONIC,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
PANASONIC,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
MODENA,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
MODENA,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
MODENA,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
MODENA,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
SANKEN,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
SANKEN,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
SANKEN,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
SANKEN,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000
POLYTRON,1 Pintu,Non- Inverter,400.000,300.000,200.000,100.000,50.000
POLYTRON,2 Pintu,Non- Inverter,600.000,400.000,300.000,100.000,50.000
POLYTRON,1 Pintu,Inverter,250.000,200.000,150.000,100.000,50.000
POLYTRON,2 Pintu,Inverter,300.000,250.000,200.000,150.000,50.000