Brand,Storages,Type,Price Grade A,Price Grade B,Price Grade C
Sony Playstation 3 slim,120GB,PS3 (Slim),540.000,440.000,340.000
Sony Playstation 3 slim,160GB,PS3 (Slim),690.000,590.000,390.000
Sony Playstation 3 slim,250GB,PS3 (Slim),790.000,590.000,490.000
Sony Playstation 3 slim,320GB,PS3 (Slim),990.000,790.000,590.000
Sony Playstation 3 slim,500GB,PS3 (Slim),1.090.000,890.000,690.000
Sony Playstation 3 super slim,320GB,PS3 (Super Slim),980.000,780.000,580.000
Sony Playstation 4,500GB,PS4 (Fat),880.000,680.000,480.000
Sony Playstation 4,1TB,PS4 (Fat),1.080.000,880.000,680.000
Sony Playstation 4 slim,500GB,PS4 (Slim),1.580.000,1.380.000,1.180.000
Sony Playstation 4 slim,1TB,PS4 (Slim),1.980.000,1.780.000,1.580.000
Sony Playstation 4 Pro,1TB,PS4 (Pro),2.180.000,1.980.000,1.780.000