Brand,Jenis Tv,Inch,Price Grade A,Price Grade B,Price Grade C
SAMSUNG,LED,"32""inch",600000,500000,400000
SAMSUNG,LED,"40""inch",800000,650000,550000
SAMSUNG,LED,"42""inch",1200000,1000000,850000
SAMSUNG,LED,"50""inch",1800000,1450000,1150000
SAMSUNG,LED,"55""inch",2000000,1700000,1400000
SAMSUNG,Smart TV,"32""inch",800000,650000,550000
SAMSUNG,Smart TV,"40""inch",1100000,900000,750000
SAMSUNG,Smart TV,"42""inch",1400000,1150000,950000
SAMSUNG,Smart TV,"50""inch",2000000,1600000,1300000
SAMSUNG,Smart TV,"55""inch",2200000,1850000,1550000